nb_id,repo_id,longer_beginning,longer_ending,has_author,is_education,language,has_links,has_comments
1025639,85972539,False,False,False,False,python,True,True
933522,74897953,False,True,False,False,python,True,True
1014833,70265123,,,,False,python,,True
134623,47644193,False,False,False,False,c,True,
947197,94085525,True,True,False,True,python,True,True
759168,59786452,False,True,False,True,python,True,True
601153,78059673,True,False,False,False,python2,False,True
913996,73995338,,,False,False,julia,,
563722,36840195,True,False,True,True,python,True,True
843264,66478811,True,True,False,True,python,True,True
743839,85632190,False,False,False,True,python,False,True
768924,52626322,True,False,False,False,python,False,True
1447,90518216,True,False,False,True,python,True,True
714931,36559244,False,False,False,False,python,True,False
1252278,52416266,True,False,False,False,python,False,True
37007,27120641,True,False,False,True,python,True,True
852295,42681100,,,False,False,python,,True
92028,52626322,False,False,False,False,python,False,True
1150586,83947009,,,False,False,python,,False
985586,74784915,,,False,False,python,,False
271120,51168679,False,False,False,False,python,False,False
1241340,66478811,False,False,False,False,,False,
1135585,74897953,False,False,False,False,python,False,True
238687,95175467,,,False,False,python,,False
1151820,94522055,,,False,False,python,,False
220548,52626322,True,False,False,False,python,False,True
86212,87641713,,,False,False,python,,True
436538,68017955,True,True,False,True,python,True,True
994851,77948798,True,True,False,True,python,True,True
1919,78944370,,,False,False,python,,True
689860,80403735,False,True,False,True,python,False,True
539588,90065464,,,False,False,python,,True
774900,74897953,False,False,False,False,python,True,True
1004567,51506807,True,False,False,True,python,True,True
67791,41806912,False,True,False,True,python,False,True
289692,42681100,,,False,False,python,,False
666278,92641079,,,False,False,python,,False
1083579,43584002,,,False,True,python,,True
139522,43584002,True,True,False,True,python,True,False
233850,90230923,False,False,False,True,python,False,True
67822,77769686,,,True,False,python,,True
1247969,30062330,False,False,False,True,python,False,True
753921,44220745,False,False,False,True,python,False,True
1258019,30734070,False,False,False,False,python,False,False
749048,16646759,False,False,,False,python,False,True
580714,52626322,True,False,False,False,python,False,True
62884,69252304,True,False,False,False,python,False,True
706516,67824983,False,False,False,False,python,False,True
78582,53558205,False,False,False,False,python,False,False
559008,85632190,False,False,False,True,python,False,True
58812,27120641,,,False,False,python3,,False
130355,69742672,False,False,False,False,python,False,False
589875,53352407,True,False,False,False,python,True,True
762026,88397625,True,False,False,True,python,False,True
764989,31622403,,,False,False,python,,True
1173520,84717266,,,False,False,python,,False
784338,22997582,False,False,False,False,python,False,True
203222,84631944,True,False,False,True,python,False,True
613846,70043832,,,False,False,python,,True
1114985,70752864,,,False,False,python,,True
612989,78586348,False,False,False,True,python,False,True
596824,95140333,,,False,False,python,,True
551333,52626322,False,False,False,False,python,False,True
489069,22551349,True,False,False,True,python,False,True
833014,76158952,,,False,True,python,,False
903546,38447805,False,False,False,False,python,False,True
366390,40293216,False,False,False,True,python,True,True
691932,47778684,True,False,True,True,python,True,True
291791,51168679,,,False,False,python,,True
200056,41806912,False,False,False,True,python,False,True
247551,59383520,False,False,False,False,python,False,False
833992,38320700,False,False,False,False,python,False,True
717124,47644193,False,False,False,False,python,True,True
1221356,42681100,,,False,False,python,,True
650895,41806912,True,False,False,True,python,False,True
152741,72206146,True,False,False,True,python,True,True
951403,42681100,False,False,False,False,python,False,True
286695,71810729,True,True,False,True,python,True,True
1091842,84522996,False,False,False,False,python,False,False
1243820,41806912,True,True,False,True,python,True,True
1256829,73537105,True,False,False,True,python,True,True
84415,91588629,,,False,False,python,,True
1134895,38447805,False,False,False,True,python,False,True
407871,44220745,False,False,False,True,python,False,False
903498,79443874,False,False,,False,python,False,True
610440,22997582,False,False,False,False,python,False,True
636718,86609558,True,False,False,False,python,True,True
654583,38097877,False,False,False,False,python,True,True
116939,80116644,False,True,False,False,,False,
472574,47866175,True,False,False,False,python,False,True
1133917,26829069,True,False,False,True,python,False,True
842278,82157744,False,False,False,False,python,True,True
748482,82362626,False,False,False,False,python,False,True
876884,73209564,False,False,False,True,python,True,True
98606,42624216,True,True,False,True,python,True,True
595313,49535309,True,False,False,True,python,True,True
774901,74897953,False,False,False,False,python,True,True
558456,69252304,,,False,False,python,,True
224812,57162320,False,False,False,False,python,False,True
1052094,67824983,False,False,False,False,python,False,False
239538,95175467,,,False,False,python,,False
221780,70038818,True,False,False,True,python,False,True
930627,61178891,False,False,False,False,python,False,True
658271,41753170,,,False,False,,,
819497,30062330,False,False,False,False,python,False,False
645563,36578950,False,False,,False,python,False,True
895217,39704412,,,False,False,python,,False
247663,91499355,True,True,False,True,python,True,True
658756,93427200,False,False,False,True,python,False,True
231383,76602490,,,False,False,python,,False
598966,25423693,,,False,False,python,,False
205798,67824983,True,True,False,False,python,False,False
746094,59786452,False,True,False,True,python,True,True
1163983,49301083,False,False,False,False,python,False,True
331107,91499355,True,False,False,True,python,True,True
1201340,64606807,False,True,False,False,python,False,False
22317,60484758,False,True,False,False,python,False,True
1250642,75626605,False,False,False,True,python,False,False
543474,78586348,,,False,True,python,,True
658949,83247711,False,True,False,True,python,False,False
171711,90909152,True,True,False,False,python,True,True
677933,55952847,False,False,False,False,python,False,True
951978,52626322,True,False,False,False,python,False,True
1096549,8485124,False,False,False,False,python,True,True
825614,87564612,False,False,False,False,python,False,True
753235,92846628,True,True,False,True,python,True,True
1032257,66453801,False,False,False,False,python,False,True
840879,9141275,True,True,False,True,python,True,True
1068477,42142178,False,True,False,False,python,False,True
1037908,45655960,False,True,False,False,python,False,False
988807,48731603,True,False,False,True,,True,
1044427,41753170,,,False,False,,,
421559,88834969,True,True,False,False,python,False,True
452431,26829069,True,False,False,False,python,False,True
768317,75567150,False,True,False,True,python,False,True
471941,27120641,True,True,False,True,python,True,True
408357,91462487,False,True,False,True,python,True,True
113623,96592997,False,False,False,False,python,True,True
663683,95175467,,,False,False,python,,True
1255829,37127904,,,False,False,python,,True
451959,34647497,False,False,False,False,python3,False,True
223938,15124520,,,False,False,python,,True
1199603,94304084,False,False,False,False,python,False,True
177505,66478811,,,False,False,python,,False
926037,76353779,False,False,False,True,python,False,True
